Scene_index, Start_frame, End_frame, Time_start, Time_end
0000, 0, 17, 0.00, 0.68
0001, 17, 2835, 0.68, 113.40
0002, 2835, 4922, 113.40, 196.88
0003, 4922, 5013, 196.88, 200.52
0004, 5013, 7253, 200.52, 290.12
0005, 7253, 9420, 290.12, 376.80
0006, 9420, 12211, 376.80, 488.44
0007, 12211, 14170, 488.44, 566.80
0008, 14170, 14671, 566.80, 586.84
0009, 14671, 15176, 586.84, 607.04
0010, 15176, 16812, 607.04, 672.48
0011, 16812, 17329, 672.48, 693.16
0012, 17329, 18017, 693.16, 720.68
0013, 18017, 18322, 720.68, 732.88
0014, 18322, 19206, 732.88, 768.24
0015, 19206, 22435, 768.24, 897.40
0016, 22435, 24451, 897.40, 978.04
0017, 24451, 25217, 978.04, 1008.68
0018, 25217, 26505, 1008.68, 1060.20
0019, 26505, 27416, 1060.20, 1096.64
0020, 27416, 28386, 1096.64, 1135.44
0021, 28386, 32906, 1135.44, 1316.24
0022, 32906, 33317, 1316.24, 1332.68
0023, 33317, 34217, 1332.68, 1368.68
0024, 34217, 35117, 1368.68, 1404.68
0025, 35117, 35613, 1404.68, 1424.52
0026, 35613, 35646, 1424.52, 1425.84
0027, 35646, 35839, 1425.84, 1433.56
0028, 35839, 36017, 1433.56, 1440.68
0029, 36017, 37640, 1440.68, 1505.60
0030, 37640, 43074, 1505.60, 1722.96
0031, 43074, 43753, 1722.96, 1750.12
0032, 43753, 44104, 1750.12, 1764.16
0033, 44104, 45017, 1764.16, 1800.68
0034, 45017, 46022, 1800.68, 1840.88
0035, 46022, 46355, 1840.88, 1854.20
0036, 46355, 46470, 1854.20, 1858.80
0037, 46470, 46598, 1858.80, 1863.92
0038, 46598, 48888, 1863.92, 1955.52
0039, 48888, 52095, 1955.52, 2083.80
0040, 52095, 54735, 2083.80, 2189.40
0041, 54735, 56937, 2189.40, 2277.48
0042, 56937, 57418, 2277.48, 2296.72
0043, 57418, 58187, 2296.72, 2327.48
0044, 58187, 58743, 2327.48, 2349.72
0045, 58743, 60317, 2349.72, 2412.68
0046, 60317, 62117, 2412.68, 2484.68
0047, 62117, 62752, 2484.68, 2510.08
0048, 62752, 64649, 2510.08, 2585.96
0049, 64649, 66880, 2585.96, 2675.20
0050, 66880, 68980, 2675.20, 2759.20
0051, 68980, 72139, 2759.20, 2885.56
0052, 72139, 73655, 2885.56, 2946.20
0053, 73655, 73674, 2946.20, 2946.96
0054, 73674, 73691, 2946.96, 2947.64
0055, 73691, 73853, 2947.64, 2954.12
0056, 73853, 75241, 2954.12, 3009.64
0057, 75241, 75381, 3009.64, 3015.24
0058, 75381, 83286, 3015.24, 3331.44
0059, 83286, 83303, 3331.44, 3332.12
0060, 83303, 83958, 3332.12, 3358.32
0061, 83958, 84580, 3358.32, 3383.20
0062, 84580, 90095, 3383.20, 3603.80
0063, 90095, 90174, 3603.80, 3606.96
0064, 90174, 93940, 3606.96, 3757.60