index,start,end,text
0,00:00:00:000,00:00:27:560," So, hello everyone. Welcome to the PC seminar. Today we have with us, Professor Amir Mowad  from American University of Beirut, and he'll be talking on the girth and parametrized complexity  of token sliding and token jumping. Thank you for joining us, Professor. Over to you  now.  Thank you, Prasivathai. Thank you for having me. It's a real pleasure to be here. So, alright,"
1,00:00:17:839,00:00:46:460," now.  Thank you, Prasivathai. Thank you for having me. It's a real pleasure to be here. So, alright,  let's jump right into it. So since I did not really know the audience too well, I made  the assumption that many of you maybe have not seen this area of combinatorial reconfiguration  problems. So I decided what I'm going to do is I'm going to give a gentle introduction"
2,00:00:33:400,00:01:04:340," the assumption that many of you maybe have not seen this area of combinatorial reconfiguration  problems. So I decided what I'm going to do is I'm going to give a gentle introduction  to the area just to show you how many exciting problems and open problems are there. And  then I will talk more about token jumping and token sliding, specifically what we know  about them, what we knew about them before we started working on this project, what we"
3,00:00:53:280,00:01:24:239," then I will talk more about token jumping and token sliding, specifically what we know  about them, what we knew about them before we started working on this project, what we  managed to discover, and the tons of questions that remain to be answered. Right. And it's  a really, I mean, the questions are so nice to state, so easy to state, and they are accessible  really to researchers at any level, which is one of the reasons why I enjoy working"
4,00:01:11:060,00:01:45:439," a really, I mean, the questions are so nice to state, so easy to state, and they are accessible  really to researchers at any level, which is one of the reasons why I enjoy working  on these problems. So hopefully you'll get to enjoy them too. So before I start, I should  point out that this is joint work that started back in the combinatorial reconfiguration  workshop almost two years ago. And it's joint work with Valentin Bartier, Nicolas Bousquet,"
5,00:01:31:879,00:02:10:360," point out that this is joint work that started back in the combinatorial reconfiguration  workshop almost two years ago. And it's joint work with Valentin Bartier, Nicolas Bousquet,  and Karl Lomer, who is my master's student. All right. So the outline of the talk, it's  going to be in four sections. I will give a gentle introduction to combinatorial reconfiguration  because I know many of you might not have seen such problems. Then I will talk about"
6,00:01:56:280,00:02:27:240," going to be in four sections. I will give a gentle introduction to combinatorial reconfiguration  because I know many of you might not have seen such problems. Then I will talk about  token jumping and token sliding, what we know about them in terms of classical complexity  or one-dimensional complexity. Then I'll talk about the parameterized complexity of these  two problems and what we know as of today as we speak, and what are the problems that"
7,00:02:15:680,00:02:42:719," or one-dimensional complexity. Then I'll talk about the parameterized complexity of these  two problems and what we know as of today as we speak, and what are the problems that  remain to be solved. And then the last part of the lecture is where I will put some of  the technical stuff to show you, to give you an idea about how we prove things when we  deal with such problems, and where are the difficulties, and what kind of techniques"
8,00:02:32:200,00:03:00:399," the technical stuff to show you, to give you an idea about how we prove things when we  deal with such problems, and where are the difficulties, and what kind of techniques  have been developed. So I tried to keep the technical part as light as I could so that  really, I mean, I can focus on the big picture and the questions to be asked and answered.  So if you have any questions along the way, please feel free to interrupt me either in"
9,00:02:47:679,00:03:21:840," really, I mean, I can focus on the big picture and the questions to be asked and answered.  So if you have any questions along the way, please feel free to interrupt me either in  the chat or by unmuting yourselves. So don't worry about leaving the questions till the  end. You can interrupt me whenever I say something that doesn't make sense. Hopefully, that won't  happen too often. All right. So what is combinatorial reconfiguration? So the best way, I think,"
10,00:03:08:439,00:03:41:180," end. You can interrupt me whenever I say something that doesn't make sense. Hopefully, that won't  happen too often. All right. So what is combinatorial reconfiguration? So the best way, I think,  to introduce is with a familiar example, which is one-player games. And the most common one  that we use is the 15 puzzle game. So for those of you who don't know the 15 puzzle  games, so you're given like a four by four grid, and you have one empty square. And basically,"
11,00:03:28:539,00:03:58:359," that we use is the 15 puzzle game. So for those of you who don't know the 15 puzzle  games, so you're given like a four by four grid, and you have one empty square. And basically,  you have all the remaining 15 squares are numbered from one to 15, and they come in  some ordering. And your job is to basically move the squares around so that all the numbers  become ordered. So it's by row. So they have to be ordered this way. So if you notice in"
12,00:03:45:459,00:04:18:080," some ordering. And your job is to basically move the squares around so that all the numbers  become ordered. So it's by row. So they have to be ordered this way. So if you notice in  this figure, the only problem is that 14 and 15 are reversed. But the only moves that  you're allowed to do is to basically move a number into the empty square. And basically,  you have to do a sequence of moves so that you get all of the numbers in order. And for"
13,00:04:04:480,00:04:37:520," you're allowed to do is to basically move a number into the empty square. And basically,  you have to do a sequence of moves so that you get all of the numbers in order. And for  those of you who know this game, this example that I have on the slide is actually unsolvable.  There is no way you can flip the order of 14 and 15 in this puzzle. And I have a link  here if you want to actually play the puzzle online, which is pretty fun."
14,00:04:25:720,00:04:57:439," There is no way you can flip the order of 14 and 15 in this puzzle. And I have a link  here if you want to actually play the puzzle online, which is pretty fun.  So why do I start my talk by talking about 15 puzzle? It's because it's really, I mean,  the way you solve the 15 puzzle tells you a lot about the area of combinatorial reconfiguration.  So the standard way we would think about the 15 puzzle is by looking at the state space"
15,00:04:43:960,00:05:16:120," the way you solve the 15 puzzle tells you a lot about the area of combinatorial reconfiguration.  So the standard way we would think about the 15 puzzle is by looking at the state space  or what we call the reconfiguration graph of the 15 puzzle. So what does that graph  consist of? Well, we have one vertex or one node in this graph for each possible configuration  of the puzzle. So basically, each possible configuration, so it would be a possible permutation"
16,00:05:02:459,00:05:34:439," consist of? Well, we have one vertex or one node in this graph for each possible configuration  of the puzzle. So basically, each possible configuration, so it would be a possible permutation  of the 15 numbers in addition to where you're going to put the empty square. Each one of  those will be a vertex in the graph. And now we connect two vertices in that graph whenever  one can be reached from the other by a single move. And what do we mean here by a single"
17,00:05:21:879,00:05:51:960," those will be a vertex in the graph. And now we connect two vertices in that graph whenever  one can be reached from the other by a single move. And what do we mean here by a single  move where it's basically just moving a number into the empty square. So if you look at the  top node here in this graph, there are four possibilities that you can do in one move,  which we call a reconfiguration step, which is you can move nine into the empty square,"
18,00:05:40:800,00:06:09:840," top node here in this graph, there are four possibilities that you can do in one move,  which we call a reconfiguration step, which is you can move nine into the empty square,  you can move three into the empty square, 12 or 15. And that gives us basically four  neighbors of that vertex in the graph. Okay, and we call this whole graph the reconfiguration  graph, or the state space, if you're more comfortable thinking about states, the states"
19,00:05:58:319,00:06:27:920," neighbors of that vertex in the graph. Okay, and we call this whole graph the reconfiguration  graph, or the state space, if you're more comfortable thinking about states, the states  of the game. So now given this graph, the reconfiguration graph, there are tons of very  interesting questions that you can ask about it. There are structural questions, and there  are algorithmic questions. And these are typically the types of questions that we're interested"
20,00:06:17:400,00:06:48:600," interesting questions that you can ask about it. There are structural questions, and there  are algorithmic questions. And these are typically the types of questions that we're interested  in in this area of combinatorial reconfiguration. So a couple of examples of structural questions  would be, well, the simplest one would be how big is this reconfiguration graph, right?  How many vertices or how many edges? And that's usually not a very hard question to answer"
21,00:06:36:160,00:07:08:259," would be, well, the simplest one would be how big is this reconfiguration graph, right?  How many vertices or how many edges? And that's usually not a very hard question to answer  in terms of upper and lower bounds. More interestingly, you could ask is this reconfiguration graph  connected, right? Or can I reach any state starting from any other state by a sequence  of legal moves? And as I told you before, for the 15 puzzle, the reconfiguration graph"
22,00:06:54:840,00:07:27:339," connected, right? Or can I reach any state starting from any other state by a sequence  of legal moves? And as I told you before, for the 15 puzzle, the reconfiguration graph  is definitely not connected, because there was no way to reverse 14 and 15 in the previous  example that I showed you. And you can easily prove that, by the way. So when it's not connected,  another question would be how many components does it have? Is there some sort of nice structure"
23,00:07:14:139,00:07:41:820," example that I showed you. And you can easily prove that, by the way. So when it's not connected,  another question would be how many components does it have? Is there some sort of nice structure  to the components of this graph? And then another question would be what is the diameter  of this reconfiguration graph or of each one of its components? And that's usually a very  important question to ask when you're dealing with one-player games, because this could"
24,00:07:33:260,00:08:00:580," of this reconfiguration graph or of each one of its components? And that's usually a very  important question to ask when you're dealing with one-player games, because this could  tell you what would be the worst possible shortest path to reach a target configuration  or to solve your game, to win your game, for example. And in the literature, this is sometimes  known as God's number, which would be the diameter of the reconfiguration graph. And"
25,00:07:48:860,00:08:18:939," or to solve your game, to win your game, for example. And in the literature, this is sometimes  known as God's number, which would be the diameter of the reconfiguration graph. And  these are all very interesting structural questions to ask about this reconfiguration  graph. Now, on the algorithmic side or the computational side, there's the obvious question  of if I'm given a starting state and some ending state or target state, like in the"
26,00:08:06:860,00:08:36:059," graph. Now, on the algorithmic side or the computational side, there's the obvious question  of if I'm given a starting state and some ending state or target state, like in the  case of the puzzle game, that I am given some starting state and we know what the goal  state is. So here, one decision problem would be to answer the question whether it's possible  to get to the target state, starting from some initial state that is also given to me."
27,00:08:23:779,00:08:54:620," state is. So here, one decision problem would be to answer the question whether it's possible  to get to the target state, starting from some initial state that is also given to me.  So you could decide to solve this problem either as a decision problem or as a search  problem, which would give you the actual sequence of steps that will take you from a state to  the target state. Other interesting computational problems, is it always possible to go from"
28,00:08:39:940,00:09:13:200," problem, which would give you the actual sequence of steps that will take you from a state to  the target state. Other interesting computational problems, is it always possible to go from  one configuration to any other? And this is basically also related to the structural question  about connected components. And the last question that I will mention, which is also interesting,  is how fast can you go from one configuration to another? Meaning, can you do it in at most"
29,00:08:59:460,00:09:42:280," about connected components. And the last question that I will mention, which is also interesting,  is how fast can you go from one configuration to another? Meaning, can you do it in at most  case steps? There is a question. I should wait or no? Okay. All right. So think about  all of these questions that we paused using the simple 15 puzzle game. And now we're going  to look at a lot of other possible problems where the same reconfiguration graph can be"
30,00:09:29:200,00:09:58:740, all of these questions that we paused using the simple 15 puzzle game. And now we're going  to look at a lot of other possible problems where the same reconfiguration graph can be  extracted and we can ask the same set of questions.  So all of you here are familiar with the k-SAT problem. So you're given a Boolean formula  and you want to know if you can satisfy this formula by assigning values to the variables.
31,00:09:47:039,00:10:15:920," So all of you here are familiar with the k-SAT problem. So you're given a Boolean formula  and you want to know if you can satisfy this formula by assigning values to the variables.  And we know that this is NP-complete for k greater than or equal to 3. So now how can  you transform this into a reconfiguration problem? Well, it's very simple. So now you're  given a formula and you're given two satisfying assignments. So you can think of those satisfying"
32,00:10:03:879,00:10:37:600," you transform this into a reconfiguration problem? Well, it's very simple. So now you're  given a formula and you're given two satisfying assignments. So you can think of those satisfying  assignments as bit vectors. And so now the question that you can ask is, can I go from  the first satisfying assignment S to the next one by basically flipping one bit at a time  under the condition that I remain a satisfying assignment at all times? And notice that without"
33,00:10:22:759,00:10:56:580," the first satisfying assignment S to the next one by basically flipping one bit at a time  under the condition that I remain a satisfying assignment at all times? And notice that without  this condition, the problem is trivial. So you can basically just flip the bits however  you like and reach S from T or T from S. But once you add this constraint of you should  remain a satisfying assignment, the problem becomes way more interesting. And you can"
34,00:10:44:180,00:11:16:360," you like and reach S from T or T from S. But once you add this constraint of you should  remain a satisfying assignment, the problem becomes way more interesting. And you can  think of this problem, again, as walking in the solution space of the given formula of  all the satisfying assignment of the formula F.  All right. So that's the SAT reconfiguration problem. Let's look at another example. Graph"
35,00:11:02:639,00:11:34:039," all the satisfying assignment of the formula F.  All right. So that's the SAT reconfiguration problem. Let's look at another example. Graph  coloring. We all know it. We all love it. You're given a graph and some integer k. And  you are asked whether you can properly k-color the graph G. And we know, again, that this  is NP-complete for k greater than or equal to 3. How do you transform that into a reconfiguration"
36,00:11:23:279,00:11:47:839," you are asked whether you can properly k-color the graph G. And we know, again, that this  is NP-complete for k greater than or equal to 3. How do you transform that into a reconfiguration  problem?  Well, now you're given a graph. You're given two colorings of the graph, alpha and beta.  And the question is, can you recolor alpha to get to beta? But you need to recolor one"
37,00:11:35:039,00:12:07:120," Well, now you're given a graph. You're given two colorings of the graph, alpha and beta.  And the question is, can you recolor alpha to get to beta? But you need to recolor one  vertex at a time. And you need to remain a proper k-coloring throughout. Same idea, again,  leads us to this notion of the reconfiguration space, where we are looking at the k-colorings  of the graph and how they are connected under this adjacency relation that we define, which"
38,00:11:55:639,00:12:22:200," leads us to this notion of the reconfiguration space, where we are looking at the k-colorings  of the graph and how they are connected under this adjacency relation that we define, which  is a single vertex recoloring.  The final example that I will mention, which will be basically what we will focus on in  the rest of the talk, is token placement, I call it. But as you will all guess, this"
39,00:12:12:080,00:12:38:120," The final example that I will mention, which will be basically what we will focus on in  the rest of the talk, is token placement, I call it. But as you will all guess, this  is the famous independent set problem. But we will look at it as a token placement problem,  because it will be more useful for the rest of the talk. So you're given a graph G and  an integer k. And the question is, can you place k tokens on your graph, k black tokens,"
40,00:12:27:800,00:12:51:759," because it will be more useful for the rest of the talk. So you're given a graph G and  an integer k. And the question is, can you place k tokens on your graph, k black tokens,  so that no two of these tokens share an edge?  And of course, we all know that this is an NP-complete problem. So how can you transform  this problem into a reconfiguration problem? Again, now I'm given a graph, two independent"
41,00:12:40:960,00:13:11:080," And of course, we all know that this is an NP-complete problem. So how can you transform  this problem into a reconfiguration problem? Again, now I'm given a graph, two independent  sets of the graph, each of size k. And the question is, can I go from one independent  set to the other under what rule? So here, defining the rule for independent set, how  can I go between consecutive independent sets, becomes a little bit less obvious. And there"
42,00:12:58:000,00:13:27:880," set to the other under what rule? So here, defining the rule for independent set, how  can I go between consecutive independent sets, becomes a little bit less obvious. And there  are two main strategies that people have attempted.  The first rule is what we call token jumping. So you are basically allowed to take any two  token on your graph and jump it to any other vertex on the graph, assuming that it doesn't"
43,00:13:16:519,00:13:51:080," The first rule is what we call token jumping. So you are basically allowed to take any two  token on your graph and jump it to any other vertex on the graph, assuming that it doesn't  have a token and that you maintain an independent set at all times. So for example, in this  example that I have here, it would be perfectly okay to take this token here and jump it to  this vertex here. Or I could also take this token here and jump it to this vertex here."
44,00:13:34:920,00:14:10:040," example that I have here, it would be perfectly okay to take this token here and jump it to  this vertex here. Or I could also take this token here and jump it to this vertex here.  No, actually that would violate the independence. So you can jump to any other vertex as long as  you maintain independence. And we call that the token jumping rule. The other rule is basically  token sliding. So in this case, we only allow a token to slide along edges of the graph."
45,00:13:57:720,00:14:28:840," you maintain independence. And we call that the token jumping rule. The other rule is basically  token sliding. So in this case, we only allow a token to slide along edges of the graph.  So a token can only move to an adjacent vertex, assuming of course this does not violate  independence. So now we have two different reconfiguration graphs we can think about.  We can think about the reconfiguration graph under the token jumping adjacency,"
46,00:14:19:480,00:14:46:039," independence. So now we have two different reconfiguration graphs we can think about.  We can think about the reconfiguration graph under the token jumping adjacency,  and we can think about the reconfiguration graph under the token sliding adjacency.  And we're going to talk about these two different problems, because they do actually behave quite  differently, and they produce quite interesting results. Like the difference between the two,"
47,00:14:34:519,00:15:05:079," And we're going to talk about these two different problems, because they do actually behave quite  differently, and they produce quite interesting results. Like the difference between the two,  we don't fully understand yet, but we kind of know that token sliding  can be harder than token jumping. But there's still a lot of questions to be answered.  All right, so some of you might be asking, why do we care about studying such problems? There's"
48,00:14:50:599,00:15:24:440," can be harder than token jumping. But there's still a lot of questions to be answered.  All right, so some of you might be asking, why do we care about studying such problems? There's  a lot of motivations out there. I mean, sometimes I would say you don't need motivation. They're  interesting. There's a lot of open questions that we need to answer. But you can also think  about reconfiguration problems as another way of modeling real-world algorithmic problems,"
49,00:15:13:560,00:15:41:560," interesting. There's a lot of open questions that we need to answer. But you can also think  about reconfiguration problems as another way of modeling real-world algorithmic problems,  because you usually never start from scratch. When you're trying to solve real-world problems,  you usually start from something, and you're trying to prove it, or make it better,  or change it to something more appropriate. Another very good application of studying"
50,00:15:29:880,00:15:57:000," you usually start from something, and you're trying to prove it, or make it better,  or change it to something more appropriate. Another very good application of studying  these problems is that they give you a better understanding of solution spaces,  which can be very important for other areas as well. And they have been used in statistical  physics, quantum computing, and in complexity theory, combinatorics, and robotics, and hopefully"
51,00:15:45:800,00:16:15:240," which can be very important for other areas as well. And they have been used in statistical  physics, quantum computing, and in complexity theory, combinatorics, and robotics, and hopefully  many more applications to come. But what I would tell you is that there are so many very interesting  problems that are so easy to start thinking about without having too much background, which is why  I think this is a very nice area to start working on at any level in your research career."
52,00:16:02:680,00:16:35:559," problems that are so easy to start thinking about without having too much background, which is why  I think this is a very nice area to start working on at any level in your research career.  All right. So I'll take a break here and take questions if there are any.  And then we will dive into the token jumping and token sliding problems, what we know about them  in terms of classical complexity, and what was basically the starting point for the project that"
53,00:16:23:159,00:16:58:040," And then we will dive into the token jumping and token sliding problems, what we know about them  in terms of classical complexity, and what was basically the starting point for the project that  led us to this paper. Any questions at this point?  I apologize for the small context, which I am interrupting here. So this is just to announce  for the PC301 workshop that will be happening in December end. And this will be slightly different"
54,00:16:46:040,00:17:18:519," I apologize for the small context, which I am interrupting here. So this is just to announce  for the PC301 workshop that will be happening in December end. And this will be slightly different  from the previous two workshops. First major difference, this will be online. Second is  some advanced topics will be discussed. So anyone who intends to explore somewhat more complex  topics in parameterized algorithms is invited to have a check. They can look at the website that"
55,00:17:03:800,00:17:42:039," some advanced topics will be discussed. So anyone who intends to explore somewhat more complex  topics in parameterized algorithms is invited to have a check. They can look at the website that  has been shared on the chat. And if you wish, you can register simply by filling a form that is  linked at the bottom of the web page. So just to inform you all about it, and sorry for the  interruption for person. All right. All right. So let's start talking about token jumping,"
56,00:17:24:440,00:18:00:359," linked at the bottom of the web page. So just to inform you all about it, and sorry for the  interruption for person. All right. All right. So let's start talking about token jumping,  token sliding, and a little bit about classical complexity. So I know everybody here knows about  P and NP, so I'm not going to talk about this. Some of you might not be familiar with the PSpace  class. So just a quick note, that's as much as you will need to know for this talk is that PSpace is"
57,00:17:48:119,00:18:20:200," P and NP, so I'm not going to talk about this. Some of you might not be familiar with the PSpace  class. So just a quick note, that's as much as you will need to know for this talk is that PSpace is  the set of all decision problems that can be solved using a polynomial amount of space.  And the reason why I mentioned this class, it's because many, many, many, many reconfiguration  problem actually are PSpace complete. Okay. And so what we know the standard inclusion is we know"
58,00:18:06:840,00:18:40:519," And the reason why I mentioned this class, it's because many, many, many, many reconfiguration  problem actually are PSpace complete. Okay. And so what we know the standard inclusion is we know  that P is contained in NP, which is contained in PSpace, but a very useful thing about PSpace is  that Savage proved that it's equal to NPSpace. So polynomial space and non-deterministic  polynomial space are the same class, basically. And that's extremely useful when you start to"
